id;description;date_operation;montant;operationcategorie_id
1610;Utilisation de véhicules personnels;2011-06-10;-107.14;29
1611;Services de transport;2011-06-11;-152.49;30
1612;Communications;2011-06-11;115.88;31
1613;Communications;2011-06-11;218.99;32
1614;Loisirs et culture;2011-06-11;-468.04;33
1615;Équipements audiovisuels. photographiques et informatiques;2011-06-11;445.28;34
1616;Autres biens durables importants du domaine des loisirs et de la culture;2011-06-11;309.35;35
1617;"Autres articles et équipements de loisirs; fleurs. jardins et animaux d'agrément";2011-06-11;-276.79;36
1618;Services récréatifs et culturels;2011-06-11;151.59;37
1619;Édition. presse et papeterie;2011-06-11;-229.82;38
1620;Voyages à forfait;2011-06-11;255.97;39
1621;Enseignement;2011-06-12;-2.67;40
1622;Enseignement;2011-06-12;320.40;41
1623;Restaurants et hôtels;2011-06-12;-19.48;42
1624;Services de restauration;2011-06-12;189.26;43
1625;Services d'hébergement;2011-06-12;-163.36;44
1626;Autres biens et servicesDocumentation des articles;2011-06-12;-344.46;45
1627;Soins personnels;2011-06-12;202.03;46
1628;Effets personnels n.d.a.;2011-06-12;-154.00;47
1629;Protection sociale;2011-06-12;448.48;48
1630;Assurances;2011-06-12;452.54;49
1631;Services financiers n.d.a;2011-06-13;308.14;50
1632;Autres services n.d.a;2011-06-13;64.21;51
1633;Produits alimentaires et boissons non alcoolisées;2011-06-13;44.58;1
1634;Produits alimentaires;2011-06-13;-77.41;2
1635;Boissons non alcoolisées;2011-06-13;37.51;3
1636;Boissons alcoolisées et tabac;2011-06-13;441.71;4
1637;Boissons alcoolisées;2011-06-13;-323.18;5
1638;Tabac;2011-06-13;428.30;6
1639;Articles d'habillement et articles chaussants;2011-06-13;-191.18;7
1640;Articles d'habillement;2011-06-13;-245.99;8
1641;Articles chaussants;2011-06-14;-301.73;9
1642;Logement. eau. électricité. gaz et autres combustibles;2011-06-14;-417.04;10
1643;Loyers d'habitation réels;2011-06-14;-63.45;11
1644;Loyers d'habitation imputés;2011-06-14;179.84;12
1645;Entretien et de réparation du logement;2011-06-14;168.93;13
1646;Adduction d'eau et autres services relatifs au logement;2011-06-14;-40.58;14
1647;Électricité. gaz et autres combustibles;2011-06-14;-189.03;15
1648;Ameublement. équipement ménager et entretien courant de la maison;2011-06-14;-401.04;16
1649;Meubles. articles d'ameublement et décoration. tapis et autres revêtements de sol;2011-06-14;13.42;17
1650;Articles de ménage en textile;2011-06-14;301.89;18
1651;Appareils ménagers;2011-06-15;-427.56;19
1652;Verrerie. vaisselle et ustensiles de ménage;2011-06-15;182.00;20
1653;Outillage pour la maison et le jardin;2011-06-15;323.65;21
1654;Biens et services pour l'entretien courant du logement;2011-06-15;436.68;22
1655;Santé;2011-06-15;-158.88;23
1656;"Produits et appareils thérapeutiques; matériel médical";2011-06-15;-116.85;24
1657;Services de consultation externe;2011-06-15;439.05;25
1658;Services hospitaliers;2011-06-15;-159.87;26
1659;Transports;2011-06-15;-137.83;27
1660;Achats de véhicules;2011-06-15;-115.89;28
1661;Utilisation de véhicules personnels;2011-06-16;202.53;29
1662;Services de transport;2011-06-16;-466.80;30
1663;Communications;2011-06-16;-286.81;31
1664;Communications;2011-06-16;54.75;32
1665;Loisirs et culture;2011-06-16;-479.34;33
1666;Équipements audiovisuels. photographiques et informatiques;2011-06-16;-381.73;34
1667;Autres biens durables importants du domaine des loisirs et de la culture;2011-06-16;334.80;35
1668;"Autres articles et équipements de loisirs; fleurs. jardins et animaux d'agrément";2011-06-16;-350.62;36
1669;Services récréatifs et culturels;2011-06-16;492.28;37
1670;Édition. presse et papeterie;2011-06-16;-22.70;38
1671;Voyages à forfait;2011-06-17;-242.84;39
1672;Enseignement;2011-06-17;-371.92;40
1673;Enseignement;2011-06-17;405.87;41
1674;Restaurants et hôtels;2011-06-17;91.44;42
1675;Services de restauration;2011-06-17;-372.42;43
1676;Services d'hébergement;2011-06-17;-334.77;44
1677;Autres biens et servicesDocumentation des articles;2011-06-17;-159.39;45
1678;Soins personnels;2011-06-17;-406.64;46
1679;Effets personnels n.d.a.;2011-06-17;447.44;47
1680;Protection sociale;2011-06-17;204.39;48
1681;Assurances;2011-06-18;-490.91;49
1682;Services financiers n.d.a;2011-06-18;19.75;50
1683;Autres services n.d.a;2011-06-18;171.64;51
1684;Produits alimentaires et boissons non alcoolisées;2011-06-18;-248.46;1
1685;Produits alimentaires;2011-06-18;144.11;2
1686;Boissons non alcoolisées;2011-06-18;284.08;3
1687;Boissons alcoolisées et tabac;2011-06-18;-290.20;4
1688;Boissons alcoolisées;2011-06-18;-209.93;5
1689;Tabac;2011-06-18;151.22;6
1690;Articles d'habillement et articles chaussants;2011-06-18;248.54;7
1691;Articles d'habillement;2011-06-19;215.05;8
1692;Articles chaussants;2011-06-19;-246.47;9
1693;Logement. eau. électricité. gaz et autres combustibles;2011-06-19;473.58;10
1694;Loyers d'habitation réels;2011-06-19;445.32;11
1695;Loyers d'habitation imputés;2011-06-19;225.39;12
1696;Entretien et de réparation du logement;2011-06-19;387.25;13
1697;Adduction d'eau et autres services relatifs au logement;2011-06-19;-231.08;14
1698;Électricité. gaz et autres combustibles;2011-06-19;-379.76;15
1699;Ameublement. équipement ménager et entretien courant de la maison;2011-06-19;-374.93;16
1700;Meubles. articles d'ameublement et décoration. tapis et autres revêtements de sol;2011-06-19;-217.63;17
1701;Articles de ménage en textile;2011-06-20;-244.13;18
1702;Appareils ménagers;2011-06-20;262.05;19
1703;Verrerie. vaisselle et ustensiles de ménage;2011-06-20;5.54;20
1704;Outillage pour la maison et le jardin;2011-06-20;-386.90;21
1705;Biens et services pour l'entretien courant du logement;2011-06-20;-325.38;22
1706;Santé;2011-06-20;-91.38;23
1707;"Produits et appareils thérapeutiques; matériel médical";2011-06-20;-365.43;24
1708;Services de consultation externe;2011-06-20;389.62;25
1709;Services hospitaliers;2011-06-20;-80.31;26
1710;Transports;2011-06-20;94.69;27
1711;Achats de véhicules;2011-06-21;31.27;28
1712;Utilisation de véhicules personnels;2011-06-21;237.27;29
1713;Services de transport;2011-06-21;-74.96;30
1714;Communications;2011-06-21;258.60;31
1715;Communications;2011-06-21;-380.76;32
1716;Loisirs et culture;2011-06-21;-46.75;33
1717;Équipements audiovisuels. photographiques et informatiques;2011-06-21;287.62;34
1718;Autres biens durables importants du domaine des loisirs et de la culture;2011-06-21;301.86;35
1719;"Autres articles et équipements de loisirs; fleurs. jardins et animaux d'agrément";2011-06-21;-462.95;36
1720;Services récréatifs et culturels;2011-06-21;126.62;37
1721;Édition. presse et papeterie;2011-06-22;254.28;38
1722;Voyages à forfait;2011-06-22;-54.41;39
1723;Enseignement;2011-06-22;252.15;40
1724;Enseignement;2011-06-22;-138.76;41
1725;Restaurants et hôtels;2011-06-22;366.42;42
1726;Services de restauration;2011-06-22;-134.65;43
1727;Services d'hébergement;2011-06-22;432.18;44
1728;Autres biens et servicesDocumentation des articles;2011-06-22;36.12;45
1729;Soins personnels;2011-06-22;-199.12;46
1730;Effets personnels n.d.a.;2011-06-22;437.25;47
1731;Protection sociale;2011-06-23;382.46;48
1732;Assurances;2011-06-23;24.26;49
1733;Services financiers n.d.a;2011-06-23;385.99;50
1734;Autres services n.d.a;2011-06-23;330.44;51
1735;Produits alimentaires et boissons non alcoolisées;2011-06-23;93.98;1
1736;Produits alimentaires;2011-06-23;-206.74;2
1737;Boissons non alcoolisées;2011-06-23;137.65;3
1738;Boissons alcoolisées et tabac;2011-06-23;-151.79;4
1739;Boissons alcoolisées;2011-06-23;-243.00;5
1740;Tabac;2011-06-23;189.29;6
1741;Articles d'habillement et articles chaussants;2011-06-24;377.79;7
1742;Articles d'habillement;2011-06-24;414.30;8
1743;Articles chaussants;2011-06-24;173.24;9
1744;Logement. eau. électricité. gaz et autres combustibles;2011-06-24;390.82;10
1745;Loyers d'habitation réels;2011-06-24;-443.45;11
1746;Loyers d'habitation imputés;2011-06-24;-217.09;12
1747;Entretien et de réparation du logement;2011-06-24;0.25;13
1748;Adduction d'eau et autres services relatifs au logement;2011-06-24;-316.60;14
1749;Électricité. gaz et autres combustibles;2011-06-24;256.46;15
1750;Ameublement. équipement ménager et entretien courant de la maison;2011-06-24;-442.69;16
1751;Meubles. articles d'ameublement et décoration. tapis et autres revêtements de sol;2011-06-25;358.55;17
1752;Articles de ménage en textile;2011-06-25;121.10;18
1753;Appareils ménagers;2011-06-25;136.14;19
1754;Verrerie. vaisselle et ustensiles de ménage;2011-06-25;416.56;20
1755;Outillage pour la maison et le jardin;2011-06-25;-205.51;21
1756;Biens et services pour l'entretien courant du logement;2011-06-25;412.49;22
1757;Santé;2011-06-25;-155.29;23
1758;"Produits et appareils thérapeutiques; matériel médical";2011-06-25;251.59;24
1759;Services de consultation externe;2011-06-25;-374.67;25
1760;Services hospitaliers;2011-06-25;-16.45;26
1761;Transports;2011-06-26;52.09;27
1762;Achats de véhicules;2011-06-26;84.12;28
1763;Utilisation de véhicules personnels;2011-06-26;-416.64;29
1764;Services de transport;2011-06-26;444.97;30
1765;Communications;2011-06-26;-51.05;31
1766;Communications;2011-06-26;-401.43;32
1767;Loisirs et culture;2011-06-26;-220.19;33
1768;Équipements audiovisuels. photographiques et informatiques;2011-06-26;-424.32;34
1769;Autres biens durables importants du domaine des loisirs et de la culture;2011-06-26;314.09;35
1770;"Autres articles et équipements de loisirs; fleurs. jardins et animaux d'agrément";2011-06-26;-324.06;36
1771;Services récréatifs et culturels;2011-06-27;286.33;37
1772;Édition. presse et papeterie;2011-06-27;21.23;38
1773;Voyages à forfait;2011-06-27;-259.89;39
1774;Enseignement;2011-06-27;158.64;40
1775;Enseignement;2011-06-27;-495.56;41
1776;Restaurants et hôtels;2011-06-27;-415.23;42
1777;Services de restauration;2011-06-27;204.14;43
1778;Services d'hébergement;2011-06-27;-247.73;44
1779;Autres biens et servicesDocumentation des articles;2011-06-27;287.29;45
1780;Soins personnels;2011-06-27;164.55;46
1781;Effets personnels n.d.a.;2011-06-28;103.80;47
1782;Protection sociale;2011-06-28;-297.57;48
1783;Assurances;2011-06-28;-259.84;49
1784;Services financiers n.d.a;2011-06-28;-36.26;50
1785;Autres services n.d.a;2011-06-28;-291.35;51
1786;Produits alimentaires et boissons non alcoolisées;2011-06-28;17.59;1
1787;Produits alimentaires;2011-06-28;-459.22;2
1788;Boissons non alcoolisées;2011-06-28;-81.30;3
1789;Boissons alcoolisées et tabac;2011-06-28;-28.81;4
1790;Boissons alcoolisées;2011-06-28;-85.54;5
1791;Tabac;2011-06-29;469.19;6
1792;Articles d'habillement et articles chaussants;2011-06-29;288.58;7
1793;Articles d'habillement;2011-06-29;-266.66;8
1794;Articles chaussants;2011-06-29;-268.55;9
1795;Logement. eau. électricité. gaz et autres combustibles;2011-06-29;312.30;10
1796;Loyers d'habitation réels;2011-06-29;-81.26;11
1797;Loyers d'habitation imputés;2011-06-29;-166.72;12
1798;Entretien et de réparation du logement;2011-06-29;-78.39;13
1799;Adduction d'eau et autres services relatifs au logement;2011-06-29;-441.87;14
1800;Électricité. gaz et autres combustibles;2011-06-29;-278.83;15
1801;Ameublement. équipement ménager et entretien courant de la maison;2011-06-30;292.95;16
1802;Meubles. articles d'ameublement et décoration. tapis et autres revêtements de sol;2011-06-30;3.56;17
1803;Articles de ménage en textile;2011-06-30;186.85;18
1804;Appareils ménagers;2011-06-30;-78.48;19
1805;Verrerie. vaisselle et ustensiles de ménage;2011-06-30;488.27;20
1806;Outillage pour la maison et le jardin;2011-06-30;-453.80;21
1807;Biens et services pour l'entretien courant du logement;2011-06-30;186.97;22
1808;Santé;2011-06-30;-94.37;23
1809;"Produits et appareils thérapeutiques; matériel médical";2011-06-30;402.57;24
1810;Services de consultation externe;2011-06-30;332.18;25
1811;Services hospitaliers;2011-07-01;145.51;26
1812;Transports;2011-07-01;117.87;27
1813;Achats de véhicules;2011-07-01;465.24;28
1814;Utilisation de véhicules personnels;2011-07-01;310.53;29
1815;Services de transport;2011-07-01;-212.76;30
1816;Communications;2011-07-01;-7.45;31
1817;Communications;2011-07-01;-314.22;32
1818;Loisirs et culture;2011-07-01;269.65;33
1819;Équipements audiovisuels. photographiques et informatiques;2011-07-01;-142.22;34
1820;Autres biens durables importants du domaine des loisirs et de la culture;2011-07-01;-116.69;35
1821;"Autres articles et équipements de loisirs; fleurs. jardins et animaux d'agrément";2011-07-02;58.25;36
1822;Services récréatifs et culturels;2011-07-02;225.93;37
1823;Édition. presse et papeterie;2011-07-02;-138.36;38
1824;Voyages à forfait;2011-07-02;-255.61;39
1825;Enseignement;2011-07-02;6.15;40
1826;Enseignement;2011-07-02;-484.18;41
1827;Restaurants et hôtels;2011-07-02;-305.89;42
1828;Services de restauration;2011-07-02;-352.85;43
1829;Services d'hébergement;2011-07-02;-40.55;44
1830;Autres biens et servicesDocumentation des articles;2011-07-02;423.29;45
1831;Soins personnels;2011-07-03;197.75;46
1832;Effets personnels n.d.a.;2011-07-03;214.64;47
1833;Protection sociale;2011-07-03;-35.59;48
1834;Assurances;2011-07-03;305.24;49
1835;Services financiers n.d.a;2011-07-03;-254.86;50
1836;Autres services n.d.a;2011-07-03;-190.87;51
1837;Produits alimentaires et boissons non alcoolisées;2011-07-03;62.47;1
1838;Produits alimentaires;2011-07-03;-446.71;2
1839;Boissons non alcoolisées;2011-07-03;-497.14;3
1840;Boissons alcoolisées et tabac;2011-07-03;-173.39;4
1841;Boissons alcoolisées;2011-07-04;-99.76;5
1842;Tabac;2011-07-04;370.28;6
1843;Articles d'habillement et articles chaussants;2011-07-04;-126.37;7
1844;Articles d'habillement;2011-07-04;119.38;8
1845;Articles chaussants;2011-07-04;-81.72;9
1846;Logement. eau. électricité. gaz et autres combustibles;2011-07-04;-298.10;10
1847;Loyers d'habitation réels;2011-07-04;-312.04;11
1848;Loyers d'habitation imputés;2011-07-04;-133.49;12
1849;Entretien et de réparation du logement;2011-07-04;-73.85;13
1850;Adduction d'eau et autres services relatifs au logement;2011-07-04;211.97;14
1851;Électricité. gaz et autres combustibles;2011-07-05;356.87;15
1852;Ameublement. équipement ménager et entretien courant de la maison;2011-07-05;-103.57;16
1853;Meubles. articles d'ameublement et décoration. tapis et autres revêtements de sol;2011-07-05;14.61;17
1854;Articles de ménage en textile;2011-07-05;-26.52;18
1855;Appareils ménagers;2011-07-05;-277.82;19
1856;Verrerie. vaisselle et ustensiles de ménage;2011-07-05;251.28;20
1857;Outillage pour la maison et le jardin;2011-07-05;-266.58;21
1858;Biens et services pour l'entretien courant du logement;2011-07-05;-194.34;22
1859;Santé;2011-07-05;420.53;23
1860;"Produits et appareils thérapeutiques; matériel médical";2011-07-05;275.22;24
1861;Services de consultation externe;2011-07-06;53.24;25
1862;Services hospitaliers;2011-07-06;-354.69;26
1863;Transports;2011-07-06;-363.58;27
1864;Achats de véhicules;2011-07-06;466.81;28
1865;Utilisation de véhicules personnels;2011-07-06;186.90;29
1866;Services de transport;2011-07-06;-31.66;30
1867;Communications;2011-07-06;299.98;31
1868;Communications;2011-07-06;-145.29;32
1869;Loisirs et culture;2011-07-06;-131.82;33
1870;Équipements audiovisuels. photographiques et informatiques;2011-07-06;277.76;34
1871;Autres biens durables importants du domaine des loisirs et de la culture;2011-07-07;71.74;35
1872;"Autres articles et équipements de loisirs; fleurs. jardins et animaux d'agrément";2011-07-07;201.65;36
1873;Services récréatifs et culturels;2011-07-07;-447.93;37
1874;Édition. presse et papeterie;2011-07-07;38.78;38
1875;Voyages à forfait;2011-07-07;-106.26;39
1876;Enseignement;2011-07-07;-365.79;40
1877;Enseignement;2011-07-07;-162.88;41
1878;Restaurants et hôtels;2011-07-07;417.91;42
1879;Services de restauration;2011-07-07;395.76;43
1880;Services d'hébergement;2011-07-07;393.76;44
1881;Autres biens et servicesDocumentation des articles;2011-07-08;18.94;45
1882;Soins personnels;2011-07-08;440.59;46
1883;Effets personnels n.d.a.;2011-07-08;-79.33;47
1884;Protection sociale;2011-07-08;-117.37;48
1885;Assurances;2011-07-08;333.78;49
1886;Services financiers n.d.a;2011-07-08;-403.14;50
1887;Autres services n.d.a;2011-07-08;480.43;51
1888;Produits alimentaires et boissons non alcoolisées;2011-07-08;-113.72;1
1889;Produits alimentaires;2011-07-08;-252.12;2
1890;Boissons non alcoolisées;2011-07-08;-423.86;3
1891;Boissons alcoolisées et tabac;2011-07-09;-58.19;4
1892;Boissons alcoolisées;2011-07-09;-140.13;5
1893;Tabac;2011-07-09;-116.47;6
1894;Articles d'habillement et articles chaussants;2011-07-09;-386.59;7
1895;Articles d'habillement;2011-07-09;-181.35;8
1896;Articles chaussants;2011-07-09;363.38;9
1897;Logement. eau. électricité. gaz et autres combustibles;2011-07-09;384.00;10
1898;Loyers d'habitation réels;2011-07-09;287.86;11
1899;Loyers d'habitation imputés;2011-07-09;-190.41;12
1900;Entretien et de réparation du logement;2011-07-09;-234.05;13
1901;Adduction d'eau et autres services relatifs au logement;2011-07-10;242.88;14
1902;Électricité. gaz et autres combustibles;2011-07-10;403.86;15
1903;Ameublement. équipement ménager et entretien courant de la maison;2011-07-10;-419.69;16
1904;Meubles. articles d'ameublement et décoration. tapis et autres revêtements de sol;2011-07-10;468.11;17
1905;Articles de ménage en textile;2011-07-10;199.60;18
1906;Appareils ménagers;2011-07-10;241.90;19
1907;Verrerie. vaisselle et ustensiles de ménage;2011-07-10;-480.44;20
1908;Outillage pour la maison et le jardin;2011-07-10;358.33;21
1909;Biens et services pour l'entretien courant du logement;2011-07-10;89.03;22
1910;Santé;2011-07-10;95.68;23
1911;"Produits et appareils thérapeutiques; matériel médical";2011-07-11;443.49;24
1912;Services de consultation externe;2011-07-11;-435.31;25
1913;Services hospitaliers;2011-07-11;140.56;26
1914;Transports;2011-07-11;168.08;27
1915;Achats de véhicules;2011-07-11;-6.35;28
1916;Utilisation de véhicules personnels;2011-07-11;-290.58;29
1917;Services de transport;2011-07-11;229.72;30
1918;Communications;2011-07-11;152.21;31
1919;Communications;2011-07-11;-31.05;32
1920;Loisirs et culture;2011-07-11;-328.84;33
1921;Équipements audiovisuels. photographiques et informatiques;2011-07-12;400.75;34
1922;Autres biens durables importants du domaine des loisirs et de la culture;2011-07-12;-418.89;35
1923;"Autres articles et équipements de loisirs; fleurs. jardins et animaux d'agrément";2011-07-12;34.77;36
1924;Services récréatifs et culturels;2011-07-12;437.85;37
1925;Édition. presse et papeterie;2011-07-12;481.90;38
1926;Voyages à forfait;2011-07-12;285.32;39
1927;Enseignement;2011-07-12;-458.87;40
1928;Enseignement;2011-07-12;354.56;41
1929;Restaurants et hôtels;2011-07-12;188.61;42
1930;Services de restauration;2011-07-12;-120.97;43
1931;Services d'hébergement;2011-07-13;-183.99;44
1932;Autres biens et servicesDocumentation des articles;2011-07-13;310.94;45
1933;Soins personnels;2011-07-13;-435.18;46
1934;Effets personnels n.d.a.;2011-07-13;-3.64;47
1935;Protection sociale;2011-07-13;213.20;48
1936;Assurances;2011-07-13;-189.95;49
1937;Services financiers n.d.a;2011-07-13;427.41;50
1938;Autres services n.d.a;2011-07-13;79.59;51
1939;Produits alimentaires et boissons non alcoolisées;2011-07-13;-310.13;1
1940;Produits alimentaires;2011-07-13;375.48;2
1941;Boissons non alcoolisées;2011-07-14;-160.11;3
1942;Boissons alcoolisées et tabac;2011-07-14;366.77;4
1943;Boissons alcoolisées;2011-07-14;-352.12;5
1944;Tabac;2011-07-14;-99.56;6
1945;Articles d'habillement et articles chaussants;2011-07-14;114.17;7
1946;Articles d'habillement;2011-07-14;133.21;8
1947;Articles chaussants;2011-07-14;479.86;9
1948;Logement. eau. électricité. gaz et autres combustibles;2011-07-14;189.73;10
1949;Loyers d'habitation réels;2011-07-14;218.85;11
1950;Loyers d'habitation imputés;2011-07-14;128.17;12
1951;Entretien et de réparation du logement;2011-07-15;23.63;13
1952;Adduction d'eau et autres services relatifs au logement;2011-07-15;462.03;14
1953;Électricité. gaz et autres combustibles;2011-07-15;187.62;15
1954;Ameublement. équipement ménager et entretien courant de la maison;2011-07-15;246.06;16
1955;Meubles. articles d'ameublement et décoration. tapis et autres revêtements de sol;2011-07-15;-366.27;17
1956;Articles de ménage en textile;2011-07-15;408.03;18
1957;Appareils ménagers;2011-07-15;368.82;19
1958;Verrerie. vaisselle et ustensiles de ménage;2011-07-15;43.12;20
1959;Outillage pour la maison et le jardin;2011-07-15;26.87;21
1960;Biens et services pour l'entretien courant du logement;2011-07-15;252.53;22
1961;Santé;2011-07-16;-488.51;23
1962;"Produits et appareils thérapeutiques; matériel médical";2011-07-16;-127.04;24
1963;Services de consultation externe;2011-07-16;-161.29;25
1964;Services hospitaliers;2011-07-16;89.64;26
1965;Transports;2011-07-16;323.93;27
1966;Achats de véhicules;2011-07-16;-300.06;28
1967;Utilisation de véhicules personnels;2011-07-16;438.18;29
1968;Services de transport;2011-07-16;107.97;30
1969;Communications;2011-07-16;-375.99;31
1970;Communications;2011-07-16;483.32;32
1971;Loisirs et culture;2011-07-17;-36.92;33
1972;Équipements audiovisuels. photographiques et informatiques;2011-07-17;377.96;34
1973;Autres biens durables importants du domaine des loisirs et de la culture;2011-07-17;252.57;35
1974;"Autres articles et équipements de loisirs; fleurs. jardins et animaux d'agrément";2011-07-17;291.21;36
1975;Services récréatifs et culturels;2011-07-17;-189.33;37
1976;Édition. presse et papeterie;2011-07-17;-358.09;38
1977;Voyages à forfait;2011-07-17;440.57;39
1978;Enseignement;2011-07-17;248.48;40
1979;Enseignement;2011-07-17;20.91;41
1980;Restaurants et hôtels;2011-07-17;102.25;42
1981;Services de restauration;2011-07-18;305.52;43
1982;Services d'hébergement;2011-07-18;101.60;44
1983;Autres biens et servicesDocumentation des articles;2011-07-18;181.86;45
1984;Soins personnels;2011-07-18;370.77;46
1985;Effets personnels n.d.a.;2011-07-18;229.47;47
1986;Protection sociale;2011-07-18;372.69;48
1987;Assurances;2011-07-18;-280.07;49
1988;Services financiers n.d.a;2011-07-18;-366.67;50
1989;Autres services n.d.a;2011-07-18;-231.09;51
1990;Produits alimentaires et boissons non alcoolisées;2011-07-18;499.01;1
1991;Produits alimentaires;2011-07-19;-257.27;2
1992;Boissons non alcoolisées;2011-07-19;351.36;3
1993;Boissons alcoolisées et tabac;2011-07-19;440.69;4
1994;Boissons alcoolisées;2011-07-19;-89.77;5
1995;Tabac;2011-07-19;-88.40;6
1996;Articles d'habillement et articles chaussants;2011-07-19;-89.71;7
1997;Articles d'habillement;2011-07-19;-321.57;8
1998;Articles chaussants;2011-07-19;-468.87;9
1999;Logement. eau. électricité. gaz et autres combustibles;2011-07-19;84.96;10
2000;Loyers d'habitation réels;2011-07-19;229.41;11
2001;Loyers d'habitation imputés;2011-07-20;459.09;12
2002;Entretien et de réparation du logement;2011-07-20;261.14;13
2003;Adduction d'eau et autres services relatifs au logement;2011-07-20;-286.70;14
2004;Électricité. gaz et autres combustibles;2011-07-20;55.31;15
2005;Ameublement. équipement ménager et entretien courant de la maison;2011-07-20;-477.17;16
2006;Meubles. articles d'ameublement et décoration. tapis et autres revêtements de sol;2011-07-20;176.91;17
2007;Articles de ménage en textile;2011-07-20;304.81;18
2008;Appareils ménagers;2011-07-20;495.17;19
2009;Verrerie. vaisselle et ustensiles de ménage;2011-07-20;-35.72;20
2010;Outillage pour la maison et le jardin;2011-07-20;183.76;21
2011;Biens et services pour l'entretien courant du logement;2011-07-21;-396.29;22
2012;Santé;2011-07-21;-433.43;23
2013;"Produits et appareils thérapeutiques; matériel médical";2011-07-21;326.97;24
2014;Services de consultation externe;2011-07-21;71.63;25
2015;Services hospitaliers;2011-07-21;-436.57;26
2016;Transports;2011-07-21;195.74;27
2017;Achats de véhicules;2011-07-21;78.80;28
2018;Utilisation de véhicules personnels;2011-07-21;95.39;29
2019;Services de transport;2011-07-21;-63.87;30
2020;Communications;2011-07-21;224.67;31
2021;Communications;2011-07-22;208.57;32
2022;Loisirs et culture;2011-07-22;-477.99;33
2023;Équipements audiovisuels. photographiques et informatiques;2011-07-22;-3.95;34
2024;Autres biens durables importants du domaine des loisirs et de la culture;2011-07-22;361.63;35
2025;"Autres articles et équipements de loisirs; fleurs. jardins et animaux d'agrément";2011-07-22;-130.81;36
2026;Services récréatifs et culturels;2011-07-22;433.65;37
2027;Édition. presse et papeterie;2011-07-22;353.05;38
2028;Voyages à forfait;2011-07-22;-18.22;39
2029;Enseignement;2011-07-22;200.64;40
2030;Enseignement;2011-07-22;-123.52;41
2031;Restaurants et hôtels;2011-07-23;306.84;42
2032;Services de restauration;2011-07-23;-158.37;43
2033;Services d'hébergement;2011-07-23;-213.58;44
2034;Autres biens et servicesDocumentation des articles;2011-07-23;-363.18;45
2035;Soins personnels;2011-07-23;-228.99;46
2036;Effets personnels n.d.a.;2011-07-23;157.94;47
2037;Protection sociale;2011-07-23;-348.11;48
2038;Assurances;2011-07-23;-42.17;49
2039;Services financiers n.d.a;2011-07-23;112.76;50
2040;Autres services n.d.a;2011-07-23;-85.74;51
2041;Produits alimentaires et boissons non alcoolisées;2011-07-24;-345.97;1
2042;Produits alimentaires;2011-07-24;-265.47;2
2043;Boissons non alcoolisées;2011-07-24;-403.87;3
2044;Boissons alcoolisées et tabac;2011-07-24;326.24;4
2045;Boissons alcoolisées;2011-07-24;481.71;5
2046;Tabac;2011-07-24;403.18;6
2047;Articles d'habillement et articles chaussants;2011-07-24;-302.29;7
2048;Articles d'habillement;2011-07-24;-387.78;8
2049;Articles chaussants;2011-07-24;-110.63;9
2050;Logement. eau. électricité. gaz et autres combustibles;2011-07-24;331.76;10
2051;Loyers d'habitation réels;2011-07-25;43.00;11
2052;Loyers d'habitation imputés;2011-07-25;17.72;12
2053;Entretien et de réparation du logement;2011-07-25;30.70;13
2054;Adduction d'eau et autres services relatifs au logement;2011-07-25;351.86;14
2055;Électricité. gaz et autres combustibles;2011-07-25;30.85;15
2056;Ameublement. équipement ménager et entretien courant de la maison;2011-07-25;77.04;16
2057;Meubles. articles d'ameublement et décoration. tapis et autres revêtements de sol;2011-07-25;-340.42;17
2058;Articles de ménage en textile;2011-07-25;9.74;18
2059;Appareils ménagers;2011-07-25;128.67;19
2060;Verrerie. vaisselle et ustensiles de ménage;2011-07-25;96.25;20
2061;Outillage pour la maison et le jardin;2011-07-26;443.68;21
2062;Biens et services pour l'entretien courant du logement;2011-07-26;120.65;22
2063;Santé;2011-07-26;-74.13;23
2064;"Produits et appareils thérapeutiques; matériel médical";2011-07-26;428.35;24
2065;Services de consultation externe;2011-07-26;98.06;25
2066;Services hospitaliers;2011-07-26;450.19;26
2067;Transports;2011-07-26;354.41;27
2068;Achats de véhicules;2011-07-26;-114.80;28
2069;Utilisation de véhicules personnels;2011-07-26;-329.25;29
2070;Services de transport;2011-07-26;-242.69;30
2071;Communications;2011-07-27;208.57;31
2072;Communications;2011-07-27;-339.32;32
2073;Loisirs et culture;2011-07-27;224.09;33
2074;Équipements audiovisuels. photographiques et informatiques;2011-07-27;259.15;34
2075;Autres biens durables importants du domaine des loisirs et de la culture;2011-07-27;266.68;35
2076;"Autres articles et équipements de loisirs; fleurs. jardins et animaux d'agrément";2011-07-27;-280.65;36
2077;Services récréatifs et culturels;2011-07-27;-197.44;37
2078;Édition. presse et papeterie;2011-07-27;391.24;38
2079;Voyages à forfait;2011-07-27;495.20;39
2080;Enseignement;2011-07-27;211.48;40
2081;Enseignement;2011-07-28;-274.23;41
2082;Restaurants et hôtels;2011-07-28;-155.12;42
2083;Services de restauration;2011-07-28;-418.65;43
2084;Services d'hébergement;2011-07-28;-320.04;44
2085;Autres biens et servicesDocumentation des articles;2011-07-28;36.37;45
2086;Soins personnels;2011-07-28;87.69;46
2087;Effets personnels n.d.a.;2011-07-28;344.06;47
2088;Protection sociale;2011-07-28;214.13;48
2089;Assurances;2011-07-28;336.33;49
